payment_id,guardian_id,fee_type_id,amount_paid,payment_date
PAY000001,1,4,7743,2021-08-15
PAY000002,1,1,160,2021-08-28
PAY000003,1,2,53,2021-08-20
PAY000004,2,4,8293,2021-08-15
PAY000005,2,4,8189,2021-09-15
PAY000006,2,4,8562,2021-10-15
PAY000007,2,4,8428,2021-11-15
PAY000008,2,4,7308,2021-12-15
PAY000009,2,4,7309,2022-01-15
PAY000010,2,4,8630,2022-02-15
PAY000011,2,4,7284,2022-03-15
PAY000012,2,4,7356,2022-04-15
PAY000013,2,1,148,2021-08-29
PAY000014,2,2,46,2021-08-17
PAY000015,4,4,7715,2021-08-15
PAY000016,4,4,8454,2021-09-15
PAY000017,4,4,7930,2021-10-15
PAY000018,4,4,8373,2021-11-15
PAY000019,4,4,7861,2021-12-15
PAY000020,4,4,7647,2022-01-15
PAY000021,4,4,8591,2022-02-15
PAY000022,4,4,7588,2022-03-15
PAY000023,4,4,7577,2022-04-15
PAY000024,4,1,145,2021-08-16
PAY000025,4,2,47,2021-08-21
PAY000026,6,4,7978,2021-08-15
PAY000027,6,4,8772,2021-09-15
PAY000028,6,4,8648,2021-10-15
PAY000029,6,4,7568,2021-11-15
PAY000030,6,4,8129,2021-12-15
PAY000031,6,4,8751,2022-01-15
PAY000032,6,4,8301,2022-02-15
PAY000033,6,4,8451,2022-03-15
PAY000034,6,4,7572,2022-04-15
PAY000035,6,4,7819,2022-05-15
PAY000036,6,4,7499,2022-06-15
PAY000037,6,4,8771,2022-07-15
PAY000038,6,1,147,2021-08-15
PAY000039,8,4,7866,2021-08-15
PAY000040,8,4,7780,2021-09-15
PAY000041,8,4,8659,2021-10-15
PAY000042,8,4,7302,2021-11-15
PAY000043,8,4,8240,2021-12-15
PAY000044,8,4,8541,2022-01-15
PAY000045,8,4,8764,2022-02-15
PAY000046,8,4,7886,2022-03-15
PAY000047,8,4,8773,2022-04-15
PAY000048,8,2,49,2021-08-22
PAY000049,9,4,7567,2021-08-15
PAY000050,9,4,7562,2021-09-15
PAY000051,9,4,8000,2021-10-15
PAY000052,9,4,7567,2021-11-15
PAY000053,9,4,7889,2021-12-15
PAY000054,9,4,7526,2022-01-15
PAY000055,9,4,7662,2022-02-15
PAY000056,9,4,7802,2022-03-15
PAY000057,9,4,7648,2022-04-15
PAY000058,9,4,7837,2022-05-15
PAY000059,9,4,7910,2022-06-15
PAY000060,9,4,7830,2022-07-15
PAY000061,9,1,141,2021-08-30
PAY000062,9,2,53,2021-08-28
PAY000063,11,4,8545,2021-08-15
PAY000064,11,4,8394,2021-09-15
PAY000065,11,4,7599,2021-10-15
PAY000066,11,4,7940,2021-11-15
PAY000067,11,4,8039,2021-12-15
PAY000068,11,4,7317,2022-01-15
PAY000069,11,4,8251,2022-02-15
PAY000070,11,4,8690,2022-03-15
PAY000071,11,4,7648,2022-04-15
PAY000072,12,4,7527,2021-08-15
PAY000073,12,4,7501,2021-09-15
PAY000074,12,4,8130,2021-10-15
PAY000075,12,4,8453,2021-11-15
PAY000076,12,4,7815,2021-12-15
PAY000077,12,4,7436,2022-01-15
PAY000078,12,4,8361,2022-02-15
PAY000079,12,4,8173,2022-03-15
PAY000080,12,4,8224,2022-04-15
PAY000081,12,2,49,2021-08-11
PAY000082,14,4,8022,2021-08-15
PAY000083,14,4,7801,2021-09-15
PAY000084,14,4,8310,2021-10-15
PAY000085,14,4,8629,2021-11-15
PAY000086,14,4,7655,2021-12-15
PAY000087,14,4,7268,2022-01-15
PAY000088,14,4,8515,2022-02-15
PAY000089,14,4,7991,2022-03-15
PAY000090,14,4,8427,2022-04-15
PAY000091,14,2,46,2021-08-18
PAY000092,16,4,7338,2021-08-15
PAY000093,16,4,8010,2021-09-15
PAY000094,16,4,7825,2021-10-15
PAY000095,16,4,7303,2021-11-15
PAY000096,16,4,8018,2021-12-15
PAY000097,16,4,8159,2022-01-15
PAY000098,16,4,8769,2022-02-15
PAY000099,16,4,8253,2022-03-15
PAY000100,16,4,8083,2022-04-15
PAY000101,16,1,135,2021-08-22
PAY000102,16,2,46,2021-08-23
PAY000103,17,4,8602,2021-08-15
PAY000104,17,4,7530,2021-09-15
PAY000105,17,4,8004,2021-10-15
PAY000106,17,4,7325,2021-11-15
PAY000107,17,4,8019,2021-12-15
PAY000108,17,4,7222,2022-01-15
PAY000109,17,4,8222,2022-02-15
PAY000110,17,4,8404,2022-03-15
PAY000111,17,4,7942,2022-04-15
PAY000112,17,1,145,2021-08-16
PAY000113,17,2,53,2021-08-12
PAY000114,18,4,8469,2021-08-15
PAY000115,18,4,8108,2021-09-15
PAY000116,18,4,7611,2021-10-15
PAY000117,18,4,7284,2021-11-15
PAY000118,18,4,7474,2021-12-15
PAY000119,18,4,8728,2022-01-15
PAY000120,18,4,7701,2022-02-15
PAY000121,18,4,8451,2022-03-15
PAY000122,18,4,7911,2022-04-15
PAY000123,18,1,156,2021-08-16
PAY000124,18,2,53,2021-08-15
PAY000125,19,4,8301,2021-08-15
PAY000126,19,4,7611,2021-09-15
PAY000127,19,4,7290,2021-10-15
PAY000128,19,4,7684,2021-11-15
PAY000129,19,4,7523,2021-12-15
PAY000130,19,4,7330,2022-01-15
PAY000131,19,4,8629,2022-02-15
PAY000132,19,4,8721,2022-03-15
PAY000133,19,4,8081,2022-04-15
PAY000134,19,4,8541,2022-05-15
PAY000135,19,4,8585,2022-06-15
PAY000136,19,4,7928,2022-07-15
PAY000137,19,2,45,2021-08-27
PAY000138,20,4,8539,2021-08-15
PAY000139,20,4,8521,2021-09-15
PAY000140,20,4,7953,2021-10-15
PAY000141,20,4,8392,2021-11-15
PAY000142,20,4,7877,2021-12-15
PAY000143,20,4,7455,2022-01-15
PAY000144,20,4,8276,2022-02-15
PAY000145,20,4,8759,2022-03-15
PAY000146,20,4,7248,2022-04-15
PAY000147,20,1,153,2021-08-15
PAY000148,20,2,46,2021-08-27
PAY000149,22,4,7465,2021-08-15
PAY000150,22,4,7840,2021-09-15
PAY000151,22,4,8279,2021-10-15
PAY000152,22,4,7583,2021-11-15
PAY000153,22,4,7944,2021-12-15
PAY000154,22,4,8637,2022-01-15
PAY000155,22,4,7544,2022-02-15
PAY000156,22,4,8519,2022-03-15
PAY000157,22,4,8309,2022-04-15
PAY000158,22,1,144,2021-08-12
PAY000159,22,2,53,2021-08-15
PAY000160,23,4,7731,2021-08-15
PAY000161,23,4,8316,2021-09-15
PAY000162,23,4,7873,2021-10-15
PAY000163,23,4,7803,2021-11-15
PAY000164,23,4,8046,2021-12-15
PAY000165,23,4,8326,2022-01-15
PAY000166,23,4,8455,2022-02-15
PAY000167,23,4,8284,2022-03-15
PAY000168,23,4,7736,2022-04-15
PAY000169,23,1,157,2021-08-12
PAY000170,24,4,8594,2021-08-15
PAY000171,24,4,7759,2021-09-15
PAY000172,24,4,7909,2021-10-15
PAY000173,24,4,8138,2021-11-15
PAY000174,24,4,8392,2021-12-15
PAY000175,24,4,8754,2022-01-15
PAY000176,24,4,8066,2022-02-15
PAY000177,24,4,7901,2022-03-15
PAY000178,24,4,7731,2022-04-15
PAY000179,24,4,7727,2022-05-15
PAY000180,24,4,8394,2022-06-15
PAY000181,24,4,8366,2022-07-15
PAY000182,24,2,53,2021-08-23
PAY000183,26,4,7460,2021-08-15
PAY000184,26,4,7328,2021-09-15
PAY000185,26,4,8367,2021-10-15
PAY000186,26,4,8791,2021-11-15
PAY000187,26,4,8482,2021-12-15
PAY000188,26,4,8188,2022-01-15
PAY000189,26,4,7897,2022-02-15
PAY000190,26,4,7227,2022-03-15
PAY000191,26,4,8787,2022-04-15
PAY000192,26,1,144,2021-08-17
PAY000193,28,4,7201,2021-08-15
PAY000194,28,4,7463,2021-09-15
PAY000195,28,4,8213,2021-10-15
PAY000196,28,4,8152,2021-11-15
PAY000197,28,4,7543,2021-12-15
PAY000198,28,4,8065,2022-01-15
PAY000199,28,4,7430,2022-02-15
PAY000200,28,4,7407,2022-03-15
PAY000201,28,4,8317,2022-04-15
PAY000202,28,4,8037,2022-05-15
PAY000203,28,4,8419,2022-06-15
PAY000204,28,4,7708,2022-07-15
PAY000205,28,2,50,2021-08-18
