assignment_id,class_id,title,due_date,points_possible,category,term_id
1,1,Project 1,2021-10-22,59,Project,1
2,1,Homework 2,2021-11-08,15,Homework,1
3,1,Test 3,2021-11-10,99,Test,2
4,1,Participation 4,2022-05-30,10,Participation,2
5,1,Participation 5,2022-05-29,13,Participation,3
6,1,Homework 6,2022-03-08,18,Homework,3
7,1,Participation 7,2021-12-28,7,Participation,1
8,1,Test 8,2021-12-13,90,Test,1
9,1,Homework 9,2021-08-31,14,Homework,1
10,1,Test 10,2021-11-25,84,Test,2
11,1,Participation 11,2021-11-07,15,Participation,1
12,1,Project 12,2022-01-31,63,Project,4
13,1,Homework 13,2022-04-08,10,Homework,4
14,1,Project 14,2022-04-11,70,Project,2
15,1,Project 15,2022-04-17,88,Project,2
16,1,Test 16,2022-01-05,75,Test,2
17,1,Quiz 17,2021-10-15,50,Quiz,4
18,1,Participation 18,2022-03-29,8,Participation,2
19,1,Participation 19,2022-01-02,6,Participation,3
20,1,Project 20,2022-05-17,74,Project,4
21,1,Project 21,2021-09-11,87,Project,1
22,1,Test 22,2022-06-04,89,Test,1
23,1,Quiz 23,2021-11-06,32,Quiz,3
24,1,Test 24,2021-11-21,89,Test,3
25,1,Quiz 25,2021-09-28,30,Quiz,1
26,1,Participation 26,2021-10-18,13,Participation,2
27,1,Homework 27,2022-05-18,13,Homework,2
28,1,Quiz 28,2022-01-25,28,Quiz,2
29,1,Quiz 29,2021-12-26,35,Quiz,1
30,1,Project 30,2021-11-09,69,Project,2
31,1,Participation 31,2021-10-26,16,Participation,2
32,1,Participation 32,2022-02-20,8,Participation,4
33,1,Participation 33,2021-11-26,9,Participation,4
34,1,Homework 34,2021-12-25,15,Homework,1
35,1,Homework 35,2022-05-22,22,Homework,3
36,1,Project 36,2022-05-13,95,Project,4
37,1,Participation 37,2022-05-29,7,Participation,1
38,1,Participation 38,2022-01-01,13,Participation,2
39,1,Participation 39,2021-10-11,20,Participation,3
40,1,Test 40,2021-12-14,78,Test,1
41,1,Quiz 41,2022-04-24,29,Quiz,3
42,1,Test 42,2022-02-16,94,Test,2
43,1,Participation 43,2021-10-25,7,Participation,2
44,1,Participation 44,2021-12-05,5,Participation,4
45,1,Participation 45,2022-04-13,7,Participation,4
46,1,Quiz 46,2022-05-20,40,Quiz,3
47,1,Participation 47,2021-09-15,19,Participation,3
48,1,Quiz 48,2021-11-07,35,Quiz,3
49,1,Homework 49,2021-10-19,24,Homework,1
50,1,Test 50,2021-10-14,91,Test,2
51,1,Quiz 51,2021-11-29,31,Quiz,1
52,1,Participation 52,2021-12-08,8,Participation,3
53,1,Project 53,2022-03-01,93,Project,1
54,1,Test 54,2022-03-03,99,Test,2
55,1,Test 55,2021-09-24,82,Test,1
56,1,Quiz 56,2021-12-17,36,Quiz,2
57,1,Participation 57,2022-02-06,15,Participation,2
58,1,Test 58,2022-04-20,81,Test,3
