teacher_id,subject_id,department_id
1,1,1
1,13,1
2,14,2
2,2,2
3,10,3
3,3,3
4,4,4
5,5,5
6,6,6
8,8,8
10,1,1
10,13,1
11,2,2
12,3,3
12,10,3
13,4,4
14,5,5
15,6,6
16,12,7
18,11,9
18,9,9
20,14,2
20,2,2
21,10,3
22,4,4
23,5,5
24,6,6
25,7,7
25,12,7
26,8,8
27,11,9
27,9,9
28,1,1
28,13,1
29,14,2
30,10,3
30,3,3
31,4,4
32,5,5
33,6,6
34,7,7
35,8,8
36,11,9
36,9,9
37,1,1
37,13,1
38,14,2
40,4,4
41,5,5
42,6,6
43,12,7
44,8,8
46,1,1
46,13,1
47,2,2
47,14,2
48,3,3
48,10,3
50,5,5
51,6,6
52,7,7
52,12,7
53,8,8
54,11,9
54,9,9
55,1,1
55,13,1
56,2,2
56,14,2
57,3,3
59,5,5
60,6,6
61,12,7
62,1,1
62,13,1
63,11,9
63,9,9
64,6,6
65,9,9
66,4,4
67,4,4
68,14,2
69,5,5
70,14,2
70,2,2
