class_id,name,grade_level_id,teacher_id,classroom_id,period_id,term_id
1,Homeroom,3,69,7,1,2
2,Mathematics,3,11,15,2,1
3,Reading,3,52,8,3,3
4,Science,3,53,2,4,4
5,Social Studies,3,62,4,5,3
6,Homeroom,4,44,6,1,2
7,Mathematics,4,63,17,2,4
8,Reading,4,28,9,3,1
9,Science,4,14,13,4,1
10,Social Studies,4,46,7,5,1
11,Homeroom,5,53,13,1,4
12,Mathematics,5,6,3,2,2
13,Reading,5,33,1,3,4
14,Science,5,21,13,4,1
15,Social Studies,5,52,4,5,4
16,Homeroom,6,23,2,1,4
17,Mathematics,6,10,20,2,2
18,Reading,6,70,15,3,2
19,Science,6,41,10,4,2
20,Social Studies,6,63,9,5,3
21,Mathematics,7,60,14,1,1
22,English Language Arts,7,2,15,2,4
23,Science,7,27,2,3,1
24,Social Studies,7,4,1,4,1
25,Art,7,10,1,5,1
26,Physical Education,7,35,20,6,3
27,Technology,7,66,2,7,1
28,Mathematics,8,50,12,1,2
29,English Language Arts,8,63,3,2,3
30,Science,8,40,3,3,3
31,Social Studies,8,3,3,4,3
32,Art,8,69,3,5,1
33,Physical Education,8,23,12,6,4
34,Technology,8,54,15,7,1
35,Mathematics,9,34,12,1,2
36,English Language Arts,9,16,11,2,1
37,Science,9,53,16,3,3
38,Social Studies,9,22,5,4,2
39,Art,9,27,2,5,4
40,Physical Education,9,26,15,6,3
41,Technology,9,48,3,7,1
42,Algebra I,10,22,4,1,2
43,Biology,10,40,14,2,3
44,Physical Education,10,47,18,3,1
45,English,10,56,11,4,1
46,Geography,10,23,18,5,3
47,Spanish I,10,26,4,6,4
48,Computer Science,10,55,10,7,2
49,Geometry,11,14,13,1,1
50,Life Science,11,67,20,2,2
51,Physical Education,11,64,2,3,2
52,American Literature,11,2,11,4,4
53,Old World History,11,59,16,5,1
54,Spanish II,11,46,19,6,2
55,Visual Arts,11,22,15,7,2
56,Algebra II,12,36,2,1,1
57,Chemistry,12,27,17,2,3
58,Physical Education,12,32,3,3,2
59,English Literature,12,57,7,4,2
60,New World History,12,61,5,5,4
61,Leadership,12,8,16,6,4
62,Music Performance,12,14,2,7,2
63,Calculus,13,4,1,1,1
64,Psychology,13,48,19,2,3
65,Physical Education,13,69,2,3,2
66,World Literature,13,38,8,4,1
67,Government/Economics,13,41,7,5,1
68,Homeroom,2,31,3,1,1
69,Mathematics,2,47,12,2,1
70,Reading,2,53,15,3,1
71,Science,2,54,3,4,3
72,Social Studies,2,37,18,5,2
73,Homeroom,1,36,20,1,3
74,Mathematics,1,48,7,2,3
75,Reading,1,21,5,3,1
76,Science,1,18,17,4,1
77,Social Studies,1,15,2,5,2
