discipline_report_id,student_id,date,severity,type,action_taken
DISC000001,338,2018-05-03,Minor,Disruption,Parent Contact
DISC000002,338,2018-03-29,Minor,Fighting,Verbal Warning
DISC000003,338,2017-11-20,Major,Disruption,Parent Conference
DISC000004,217,2018-02-22,Minor,Disrespect,Verbal Warning
DISC000005,285,2017-12-08,Minor,Academic Dishonesty,Detention
DISC000006,285,2018-04-06,Major,Disrespect,Office Referral
DISC000007,285,2017-09-15,Minor,Academic Dishonesty,Parent Contact
DISC000008,43,2018-02-20,Minor,Disrespect,Parent Contact
DISC000009,301,2018-04-23,Minor,Other,Parent Contact
DISC000010,535,2018-02-12,Minor,Other,Parent Contact
DISC000011,535,2018-03-07,Minor,Other,Verbal Warning
DISC000012,535,2018-04-12,Minor,Disruption,Parent Contact
DISC000013,92,2018-02-11,Minor,Other,Detention
DISC000014,246,2017-09-20,Minor,Disrespect,Parent Contact
DISC000015,246,2017-10-31,Severe,Vandalism,Out-of-School Suspension
DISC000016,246,2017-09-03,Minor,Other,Detention
DISC000017,543,2018-03-31,Minor,Vandalism,Verbal Warning
DISC000018,57,2018-02-16,Major,Other,Parent Conference
DISC000019,57,2018-03-31,Minor,Disruption,Detention
DISC000020,291,2018-05-05,Minor,Other,Verbal Warning
DISC000021,542,2017-09-17,Minor,Tardiness,Detention
DISC000022,542,2018-01-07,Minor,Fighting,Detention
DISC000023,542,2018-02-27,Minor,Tardiness,Parent Contact
DISC000024,588,2018-05-27,Minor,Tardiness,Parent Contact
DISC000025,366,2017-10-22,Minor,Other,Verbal Warning
DISC000026,123,2017-09-19,Major,Academic Dishonesty,In-School Suspension
DISC000027,123,2018-05-17,Major,Fighting,In-School Suspension
DISC000028,381,2018-01-10,Minor,Vandalism,Detention
DISC000029,381,2017-09-20,Minor,Vandalism,Detention
DISC000030,381,2018-06-01,Severe,Disruption,Parent Conference
DISC000031,575,2017-12-11,Major,Disrespect,Parent Conference
DISC000032,76,2018-04-04,Minor,Academic Dishonesty,Detention
DISC000033,224,2017-12-01,Severe,Fighting,Parent Conference
DISC000034,224,2018-06-04,Minor,Academic Dishonesty,Parent Contact
DISC000035,328,2017-09-05,Major,Fighting,In-School Suspension
DISC000036,77,2018-05-30,Major,Academic Dishonesty,In-School Suspension
DISC000037,77,2018-04-15,Minor,Disrespect,Detention
DISC000038,77,2018-03-04,Minor,Fighting,Detention
DISC000039,83,2018-02-09,Major,Tardiness,In-School Suspension
DISC000040,83,2018-05-26,Minor,Vandalism,Parent Contact
DISC000041,83,2017-10-16,Minor,Academic Dishonesty,Parent Contact
DISC000042,267,2018-01-26,Minor,Other,Detention
DISC000043,267,2017-11-17,Minor,Academic Dishonesty,Detention
DISC000044,415,2018-05-10,Minor,Disruption,Detention
DISC000045,415,2018-02-17,Major,Tardiness,Office Referral
DISC000046,35,2017-12-24,Minor,Disrespect,Verbal Warning
DISC000047,35,2018-03-23,Minor,Vandalism,Detention
