student_grade_history_id,student_id,school_year_id,gpa,grade_level_id
HIST000001,1,3,3.177,3
HIST000002,2,3,2.855,3
HIST000003,3,3,3.581,3
HIST000004,4,3,3.463,3
HIST000005,5,3,3.481,3
HIST000006,6,3,2.729,3
HIST000007,7,3,3.02,3
HIST000008,8,3,3.602,3
HIST000009,9,3,2.745,3
HIST000010,10,3,3.313,3
HIST000011,11,3,4.0,3
HIST000012,12,3,3.468,3
HIST000013,13,3,3.779,3
HIST000014,14,3,3.702,3
HIST000015,15,3,2.981,3
HIST000016,16,3,2.984,3
HIST000017,17,3,2.906,3
HIST000018,18,3,2.529,3
HIST000019,19,3,2.452,3
HIST000020,20,3,1.924,3
HIST000021,21,3,4.0,3
HIST000022,22,3,3.473,3
HIST000023,23,3,2.959,3
HIST000024,24,3,2.844,3
HIST000025,26,3,3.343,3
HIST000026,27,3,3.277,3
HIST000027,28,3,3.257,3
HIST000028,29,3,2.715,3
HIST000029,31,3,4.0,3
HIST000030,32,3,1.813,3
HIST000031,33,3,3.099,3
HIST000032,34,3,3.045,3
HIST000033,35,3,2.733,3
HIST000034,36,3,3.337,3
HIST000035,37,3,3.22,3
HIST000036,38,3,3.205,3
HIST000037,39,3,3.576,3
HIST000038,40,3,2.95,4
HIST000039,41,3,3.65,4
HIST000040,43,3,4.0,4
HIST000041,44,3,3.487,4
HIST000042,45,3,1.854,4
HIST000043,46,3,3.875,4
HIST000044,47,3,2.797,4
HIST000045,48,3,3.264,4
HIST000046,49,3,3.392,4
HIST000047,50,3,3.517,4
HIST000048,51,3,2.585,4
HIST000049,52,3,3.143,4
HIST000050,53,3,3.139,4
HIST000051,54,3,2.92,4
HIST000052,55,3,2.236,4
HIST000053,56,3,2.846,4
HIST000054,57,3,3.839,4
HIST000055,58,3,2.8,4
HIST000056,59,3,1.698,4
HIST000057,60,3,3.467,4
HIST000058,61,3,2.532,4
HIST000059,62,3,1.822,4
HIST000060,63,3,3.296,4
HIST000061,64,3,3.429,4
HIST000062,65,3,2.901,4
HIST000063,66,3,3.911,4
HIST000064,67,3,2.467,4
HIST000065,68,3,3.244,4
HIST000066,69,3,3.423,4
HIST000067,70,3,3.079,4
HIST000068,71,3,3.206,4
HIST000069,72,3,2.58,4
HIST000070,73,3,3.537,4
HIST000071,74,3,3.566,4
HIST000072,75,3,3.265,4
HIST000073,76,3,2.862,4
HIST000074,77,3,3.413,4
HIST000075,78,3,3.134,4
HIST000076,79,3,3.405,5
HIST000077,80,3,3.338,5
HIST000078,82,3,2.77,5
HIST000079,83,3,2.766,5
HIST000080,84,3,3.239,5
HIST000081,85,3,3.738,5
HIST000082,86,3,3.1,5
HIST000083,87,3,3.318,5
HIST000084,88,3,2.154,5
HIST000085,89,3,3.403,5
HIST000086,90,3,3.476,5
HIST000087,91,3,4.0,5
HIST000088,92,3,2.445,5
HIST000089,93,3,3.558,5
HIST000090,94,3,2.556,5
HIST000091,95,3,3.501,5
HIST000092,96,3,3.898,5
HIST000093,97,3,2.738,5
HIST000094,98,3,3.263,5
HIST000095,99,3,3.486,5
HIST000096,100,3,3.037,5
HIST000097,101,3,3.504,5
HIST000098,102,3,3.227,5
HIST000099,103,3,2.427,5
HIST000100,104,3,3.226,5
HIST000101,105,3,2.888,5
HIST000102,106,3,2.345,5
HIST000103,107,3,2.873,5
HIST000104,108,3,3.457,5
HIST000105,109,3,3.252,5
HIST000106,110,3,2.712,5
HIST000107,111,3,3.375,5
HIST000108,112,3,1.67,5
HIST000109,113,3,3.987,5
HIST000110,114,3,3.082,5
HIST000111,115,3,2.55,5
HIST000112,116,3,3.131,5
HIST000113,117,3,3.017,5
HIST000114,118,3,3.001,6
HIST000115,119,3,3.289,6
HIST000116,120,3,2.838,6
HIST000117,121,3,2.557,6
HIST000118,122,3,3.015,6
HIST000119,123,3,2.806,6
HIST000120,124,3,2.903,6
HIST000121,125,3,3.418,6
HIST000122,126,3,2.645,6
HIST000123,127,3,2.751,6
HIST000124,128,3,3.996,6
HIST000125,129,3,2.691,6
HIST000126,130,3,3.298,6
HIST000127,131,3,3.033,6
HIST000128,132,3,3.666,6
HIST000129,133,3,2.71,6
HIST000130,134,3,3.27,6
HIST000131,135,3,3.421,6
HIST000132,136,3,3.259,6
HIST000133,137,3,2.792,6
HIST000134,138,3,1.522,6
HIST000135,139,3,3.98,6
HIST000136,140,3,2.757,6
HIST000137,141,3,3.267,6
HIST000138,142,3,4.0,6
HIST000139,143,3,2.859,6
HIST000140,144,3,3.186,6
HIST000141,145,3,2.893,6
HIST000142,146,3,2.949,6
HIST000143,147,3,3.002,6
HIST000144,148,3,2.921,6
HIST000145,149,3,3.552,6
HIST000146,150,3,3.581,6
