assignment_id,class_id,title,due_date,points_possible,category,term_id
1,1,Quiz 1,2023-05-30,35,Quiz,4
2,1,Participation 2,2022-11-18,16,Participation,2
3,1,Test 3,2023-04-06,94,Test,4
4,1,Homework 4,2023-04-10,16,Homework,4
5,1,Participation 5,2023-03-17,16,Participation,3
6,1,Homework 6,2022-10-26,15,Homework,2
7,1,Participation 7,2022-10-12,17,Participation,1
8,1,Quiz 8,2022-12-25,39,Quiz,3
9,1,Test 9,2023-04-01,76,Test,4
10,1,Test 10,2022-09-04,87,Test,4
11,1,Homework 11,2022-08-31,21,Homework,4
12,1,Homework 12,2023-02-21,16,Homework,1
13,1,Homework 13,2023-05-24,24,Homework,4
14,1,Participation 14,2022-10-12,12,Participation,4
15,1,Test 15,2022-11-16,79,Test,1
16,1,Participation 16,2022-10-18,13,Participation,3
17,1,Quiz 17,2023-05-10,42,Quiz,3
18,1,Quiz 18,2023-05-23,35,Quiz,4
19,1,Test 19,2022-08-28,86,Test,2
20,1,Quiz 20,2022-12-16,33,Quiz,1
21,1,Project 21,2023-05-31,97,Project,3
22,1,Project 22,2022-12-10,96,Project,3
23,1,Test 23,2023-03-12,100,Test,3
24,1,Quiz 24,2022-12-04,35,Quiz,4
25,1,Quiz 25,2023-01-09,43,Quiz,3
26,1,Quiz 26,2023-02-05,33,Quiz,1
27,1,Homework 27,2023-02-18,18,Homework,1
28,1,Homework 28,2023-03-01,23,Homework,2
29,1,Project 29,2022-09-22,97,Project,3
30,1,Test 30,2023-01-14,85,Test,4
31,1,Project 31,2023-05-11,59,Project,3
32,1,Homework 32,2022-12-07,24,Homework,3
33,1,Homework 33,2022-10-07,16,Homework,2
34,1,Participation 34,2023-02-22,15,Participation,3
35,1,Participation 35,2023-05-05,8,Participation,3
36,1,Participation 36,2023-05-23,16,Participation,3
37,1,Quiz 37,2023-01-20,31,Quiz,3
38,1,Project 38,2023-01-24,57,Project,1
39,1,Participation 39,2022-08-28,17,Participation,2
40,1,Participation 40,2022-12-19,9,Participation,3
41,1,Project 41,2022-12-26,59,Project,3
42,1,Test 42,2023-02-04,86,Test,3
43,1,Project 43,2023-03-26,80,Project,2
44,1,Homework 44,2023-04-11,14,Homework,2
45,1,Test 45,2022-11-23,85,Test,3
46,1,Participation 46,2023-04-06,17,Participation,1
47,1,Participation 47,2022-09-27,18,Participation,3
48,1,Participation 48,2022-10-03,18,Participation,1
49,1,Quiz 49,2023-01-29,43,Quiz,4
50,1,Quiz 50,2023-05-19,47,Quiz,2
51,1,Homework 51,2022-12-24,18,Homework,4
52,1,Participation 52,2023-01-16,9,Participation,1
53,1,Quiz 53,2023-02-12,30,Quiz,2
54,1,Project 54,2023-05-06,64,Project,2
55,1,Homework 55,2023-01-28,23,Homework,2
56,1,Project 56,2023-03-04,63,Project,3
57,1,Quiz 57,2023-05-12,43,Quiz,1
58,1,Participation 58,2023-02-16,19,Participation,4
59,1,Test 59,2023-01-28,97,Test,1
60,1,Project 60,2023-01-17,57,Project,2
61,1,Quiz 61,2023-02-26,47,Quiz,1
62,1,Homework 62,2023-06-01,13,Homework,1
63,1,Project 63,2023-02-10,100,Project,1
64,1,Project 64,2023-01-22,100,Project,3
65,1,Homework 65,2023-01-28,19,Homework,4
66,1,Quiz 66,2022-12-01,37,Quiz,3
67,1,Homework 67,2023-02-28,11,Homework,4
68,1,Participation 68,2023-01-26,10,Participation,4
69,1,Project 69,2022-09-13,80,Project,2
70,1,Test 70,2023-04-01,75,Test,1
71,2,Homework 1,2023-01-10,24,Homework,4
72,2,Homework 2,2022-10-13,10,Homework,1
73,2,Project 3,2022-08-29,99,Project,4
74,2,Homework 4,2023-03-08,18,Homework,1
75,2,Quiz 5,2023-05-13,31,Quiz,3
76,2,Participation 6,2023-01-05,10,Participation,3
77,2,Test 7,2023-05-01,83,Test,1
78,2,Project 8,2022-10-19,70,Project,1
79,2,Homework 9,2023-04-10,18,Homework,2
80,2,Participation 10,2023-02-11,16,Participation,4
81,2,Project 11,2022-12-24,64,Project,1
82,2,Project 12,2022-12-31,80,Project,1
83,2,Quiz 13,2022-12-28,42,Quiz,3
84,2,Homework 14,2022-11-05,13,Homework,2
85,2,Quiz 15,2022-09-22,34,Quiz,4
86,2,Quiz 16,2023-03-04,36,Quiz,4
87,2,Project 17,2023-01-14,54,Project,4
88,2,Participation 18,2022-09-19,16,Participation,1
89,2,Participation 19,2022-12-15,6,Participation,2
90,2,Test 20,2023-04-05,96,Test,2
91,2,Quiz 21,2023-04-25,30,Quiz,1
92,2,Homework 22,2023-03-22,25,Homework,2
93,2,Quiz 23,2023-03-15,42,Quiz,2
94,2,Quiz 24,2023-03-06,31,Quiz,2
95,2,Test 25,2023-03-19,82,Test,1
96,2,Homework 26,2022-10-17,23,Homework,2
97,2,Participation 27,2023-04-13,13,Participation,3
98,2,Project 28,2023-03-30,72,Project,4
99,2,Test 29,2023-03-08,76,Test,1
100,2,Test 30,2023-03-03,75,Test,1
101,2,Homework 31,2022-10-20,22,Homework,4
102,2,Participation 32,2023-02-23,16,Participation,1
103,2,Project 33,2023-01-13,88,Project,1
104,2,Homework 34,2022-12-20,18,Homework,4
105,2,Project 35,2022-12-11,93,Project,4
106,2,Homework 36,2022-10-20,16,Homework,3
107,2,Participation 37,2022-10-29,17,Participation,2
108,2,Quiz 38,2022-08-27,46,Quiz,2
109,2,Test 39,2023-02-09,99,Test,3
110,2,Project 40,2022-09-24,98,Project,4
111,2,Homework 41,2023-05-19,16,Homework,1
112,2,Homework 42,2023-05-24,22,Homework,4
113,2,Quiz 43,2023-03-29,25,Quiz,1
114,2,Quiz 44,2023-01-13,33,Quiz,3
115,2,Participation 45,2023-05-21,11,Participation,2
116,2,Quiz 46,2022-09-10,34,Quiz,2
117,2,Quiz 47,2023-02-02,34,Quiz,1
118,2,Homework 48,2023-04-18,24,Homework,4
119,2,Test 49,2022-10-31,100,Test,1
120,2,Project 50,2023-04-14,54,Project,3
121,2,Test 51,2023-03-22,91,Test,4
122,2,Participation 52,2023-02-23,9,Participation,1
123,2,Project 53,2023-05-16,67,Project,1
124,2,Quiz 54,2022-11-24,49,Quiz,1
125,2,Homework 55,2023-05-03,11,Homework,1
126,2,Test 56,2023-03-18,92,Test,2
127,2,Participation 57,2023-02-09,13,Participation,4
128,2,Project 58,2023-05-19,58,Project,2
129,2,Project 59,2022-12-11,86,Project,1
130,2,Homework 60,2022-09-08,22,Homework,3
131,2,Test 61,2022-09-18,94,Test,4
132,2,Homework 62,2023-01-20,22,Homework,1
133,2,Participation 63,2023-02-28,18,Participation,4
134,2,Quiz 64,2022-10-19,45,Quiz,1
135,2,Homework 65,2022-12-22,17,Homework,4
136,2,Participation 66,2023-02-03,12,Participation,2
137,2,Homework 67,2023-02-09,25,Homework,3
138,2,Participation 68,2022-11-12,17,Participation,2
139,2,Test 69,2023-04-09,93,Test,3
140,2,Quiz 70,2022-09-09,39,Quiz,2
141,2,Project 71,2022-11-29,89,Project,3
142,2,Homework 72,2022-10-28,11,Homework,1
143,3,Homework 1,2022-09-29,15,Homework,4
144,3,Test 2,2022-12-03,85,Test,4
145,3,Participation 3,2022-11-29,14,Participation,2
146,3,Quiz 4,2022-09-16,41,Quiz,3
147,3,Participation 5,2022-11-09,15,Participation,1
148,3,Homework 6,2022-09-29,10,Homework,2
149,3,Quiz 7,2023-03-25,39,Quiz,2
150,3,Homework 8,2023-05-23,19,Homework,1
151,3,Participation 9,2022-11-07,15,Participation,3
152,3,Quiz 10,2023-04-03,44,Quiz,3
153,3,Quiz 11,2022-11-26,48,Quiz,2
154,3,Homework 12,2022-11-27,25,Homework,3
155,3,Test 13,2022-09-02,77,Test,1
156,3,Homework 14,2022-09-25,18,Homework,1
157,3,Participation 15,2022-10-07,17,Participation,3
158,3,Participation 16,2022-10-08,5,Participation,3
159,3,Participation 17,2023-03-11,17,Participation,4
160,3,Quiz 18,2022-12-06,36,Quiz,1
161,3,Quiz 19,2023-05-12,42,Quiz,2
162,3,Homework 20,2022-09-03,11,Homework,1
163,3,Project 21,2023-01-28,95,Project,2
164,3,Participation 22,2023-01-10,18,Participation,1
165,3,Test 23,2022-12-01,88,Test,3
166,3,Participation 24,2023-03-08,14,Participation,4
167,3,Quiz 25,2023-03-20,45,Quiz,4
168,3,Test 26,2022-12-29,81,Test,4
169,3,Quiz 27,2023-01-06,44,Quiz,1
170,3,Participation 28,2023-03-17,15,Participation,2
171,3,Quiz 29,2023-03-07,49,Quiz,3
172,3,Test 30,2022-12-28,97,Test,4
173,3,Homework 31,2023-01-17,24,Homework,4
174,3,Project 32,2022-10-16,78,Project,4
175,3,Quiz 33,2023-05-23,39,Quiz,2
176,3,Project 34,2022-12-16,58,Project,4
177,3,Quiz 35,2023-01-11,39,Quiz,2
178,3,Project 36,2022-10-24,73,Project,1
179,3,Project 37,2023-04-04,95,Project,2
180,3,Test 38,2023-01-25,85,Test,2
181,3,Participation 39,2022-10-05,19,Participation,1
182,3,Participation 40,2023-01-06,16,Participation,3
183,3,Homework 41,2022-09-24,24,Homework,1
184,3,Test 42,2022-12-11,95,Test,2
185,3,Project 43,2022-11-08,78,Project,3
186,3,Test 44,2023-02-02,78,Test,3
187,3,Project 45,2023-04-19,80,Project,2
188,3,Participation 46,2023-02-19,12,Participation,1
189,3,Participation 47,2022-12-02,7,Participation,2
190,3,Project 48,2023-01-07,85,Project,4
191,3,Participation 49,2023-02-18,17,Participation,4
192,3,Homework 50,2023-05-27,17,Homework,1
193,3,Quiz 51,2023-03-17,33,Quiz,1
194,3,Quiz 52,2022-11-15,42,Quiz,1
195,3,Participation 53,2022-12-27,13,Participation,1
196,3,Test 54,2022-09-23,88,Test,1
197,3,Homework 55,2023-02-17,21,Homework,2
198,3,Homework 56,2023-04-05,23,Homework,1
199,3,Participation 57,2023-03-26,7,Participation,1
200,3,Project 58,2022-11-11,55,Project,3
201,3,Quiz 59,2023-05-05,31,Quiz,4
202,3,Homework 60,2023-03-08,13,Homework,2
203,3,Participation 61,2023-02-19,6,Participation,2
204,3,Project 62,2023-05-29,96,Project,4
205,3,Project 63,2022-09-29,68,Project,1
206,3,Participation 64,2023-05-08,9,Participation,2
207,3,Test 65,2022-11-27,94,Test,1
208,3,Test 66,2022-12-31,87,Test,3
209,3,Participation 67,2023-01-08,15,Participation,1
210,4,Project 1,2023-01-27,53,Project,1
211,4,Homework 2,2023-02-06,22,Homework,1
212,4,Quiz 3,2023-04-22,25,Quiz,1
213,4,Project 4,2023-02-09,57,Project,3
214,4,Participation 5,2022-11-30,9,Participation,2
215,4,Quiz 6,2023-05-08,25,Quiz,3
216,4,Test 7,2022-11-12,99,Test,3
217,4,Test 8,2023-03-24,76,Test,2
218,4,Quiz 9,2023-05-29,47,Quiz,1
219,4,Participation 10,2023-04-06,14,Participation,3
220,4,Test 11,2023-01-11,77,Test,3
221,4,Participation 12,2023-05-28,19,Participation,4
222,4,Project 13,2023-03-22,100,Project,3
223,4,Quiz 14,2023-02-11,46,Quiz,4
224,4,Homework 15,2023-05-10,17,Homework,2
225,4,Test 16,2022-12-01,82,Test,2
226,4,Participation 17,2022-09-21,7,Participation,2
227,4,Participation 18,2023-02-22,10,Participation,4
228,4,Test 19,2023-05-06,87,Test,3
229,4,Quiz 20,2023-03-21,46,Quiz,3
230,4,Test 21,2022-10-19,89,Test,2
231,4,Homework 22,2022-12-31,12,Homework,1
232,4,Test 23,2023-05-18,83,Test,4
233,4,Participation 24,2023-01-23,12,Participation,2
234,4,Test 25,2022-09-12,93,Test,4
235,4,Homework 26,2023-05-21,19,Homework,3
236,4,Quiz 27,2022-10-12,50,Quiz,4
237,4,Homework 28,2023-04-16,15,Homework,4
238,4,Quiz 29,2023-04-21,27,Quiz,4
239,4,Homework 30,2023-04-09,24,Homework,4
240,4,Participation 31,2022-10-08,5,Participation,2
241,4,Project 32,2023-02-09,90,Project,1
242,4,Test 33,2022-10-15,76,Test,2
243,4,Quiz 34,2022-12-06,46,Quiz,1
244,4,Participation 35,2023-02-06,6,Participation,2
245,4,Homework 36,2023-04-17,10,Homework,4
246,4,Homework 37,2022-12-23,16,Homework,3
247,4,Quiz 38,2023-04-29,28,Quiz,3
248,4,Participation 39,2023-02-24,6,Participation,2
249,4,Project 40,2023-02-05,58,Project,3
250,4,Quiz 41,2023-05-26,35,Quiz,1
251,4,Homework 42,2022-10-30,10,Homework,4
252,4,Quiz 43,2023-04-12,31,Quiz,2
253,4,Test 44,2022-11-10,92,Test,3
254,4,Project 45,2023-01-25,88,Project,2
255,4,Project 46,2023-05-18,71,Project,2
256,4,Test 47,2023-03-22,82,Test,2
257,4,Project 48,2022-12-14,93,Project,1
258,4,Test 49,2022-10-18,95,Test,2
259,4,Homework 50,2023-02-09,11,Homework,3
260,4,Test 51,2023-03-17,97,Test,4
261,4,Test 52,2023-01-13,80,Test,2
262,4,Test 53,2022-10-10,75,Test,1
263,4,Project 54,2023-03-02,77,Project,2
264,4,Quiz 55,2023-04-12,29,Quiz,4
265,4,Quiz 56,2023-02-19,33,Quiz,3
266,4,Homework 57,2022-11-08,11,Homework,3
267,4,Test 58,2023-02-10,88,Test,4
268,4,Test 59,2023-02-28,89,Test,2
269,4,Homework 60,2023-04-02,19,Homework,1
270,4,Participation 61,2023-06-04,20,Participation,4
271,4,Quiz 62,2023-04-18,35,Quiz,4
272,4,Participation 63,2022-09-13,7,Participation,1
273,4,Participation 64,2022-09-30,20,Participation,4
274,4,Homework 65,2022-08-27,19,Homework,3
275,4,Quiz 66,2022-10-15,47,Quiz,2
276,4,Quiz 67,2023-05-07,34,Quiz,2
277,5,Test 1,2023-03-06,84,Test,4
278,5,Quiz 2,2022-09-24,33,Quiz,3
279,5,Project 3,2023-04-18,79,Project,3
280,5,Homework 4,2022-09-17,23,Homework,1
281,5,Quiz 5,2023-05-16,44,Quiz,2
282,5,Homework 6,2023-04-23,13,Homework,1
283,5,Quiz 7,2022-12-25,32,Quiz,4
284,5,Project 8,2023-06-01,84,Project,2
285,5,Project 9,2023-05-15,80,Project,2
286,5,Test 10,2022-10-14,81,Test,3
287,5,Homework 11,2022-08-29,14,Homework,4
288,5,Quiz 12,2022-11-06,28,Quiz,4
289,5,Participation 13,2023-03-23,15,Participation,2
290,5,Quiz 14,2023-05-09,49,Quiz,2
291,5,Quiz 15,2023-02-18,32,Quiz,3
292,5,Quiz 16,2022-10-26,41,Quiz,2
293,5,Homework 17,2022-10-04,12,Homework,3
294,5,Participation 18,2022-10-14,17,Participation,3
295,5,Project 19,2022-10-13,93,Project,2
