teacher_id,subject_id,department_id
1,18,1
1,13,1
1,1,1
3,3,3
3,10,3
4,4,4
5,5,5
6,6,6
8,8,8
8,16,8
11,2,2
11,14,2
13,4,4
14,5,5
18,9,9
20,14,2
21,10,3
23,5,5
25,12,7
25,15,7
26,8,8
27,9,9
28,18,1
28,13,1
28,1,1
29,14,2
31,4,4
32,5,5
34,15,7
34,12,7
38,2,2
38,14,2
43,17,7
44,16,8
44,8,8
48,10,3
52,12,7
52,7,7
54,9,9
54,11,9
56,2,2
56,14,2
59,5,5
61,7,7
62,1,1
62,18,1
62,13,1
63,11,9
64,6,6
65,11,9
65,9,9
66,4,4
67,4,4
68,2,2
68,14,2
69,5,5
70,14,2
70,2,2
71,2,2
71,14,2
72,13,1
73,9,9
74,4,4
75,5,5
76,9,9
76,11,9
77,11,9
77,9,9
78,14,2
78,2,2
79,5,5
80,10,3
81,2,2
81,14,2
82,4,4
83,6,6
84,7,7
84,12,7
85,9,9
85,11,9
86,13,1
86,18,1
86,1,1
87,8,8
87,16,8
88,4,4
89,18,1
89,1,1
90,16,8
90,8,8
91,15,7
91,17,7
91,7,7
92,6,6
93,1,1
93,13,1
