payment_id,guardian_id,fee_type_id,amount_paid,payment_date
PAY000001,1,4,9086,2024-08-15
PAY000002,1,4,10110,2024-09-15
PAY000003,1,4,8712,2024-10-15
PAY000004,1,4,9943,2024-11-15
PAY000005,1,4,9993,2024-12-15
PAY000006,1,4,10157,2025-01-15
PAY000007,1,4,9160,2025-02-15
PAY000008,1,4,8767,2025-03-15
PAY000009,1,4,9305,2025-04-15
PAY000010,1,2,53,2024-08-17
PAY000011,2,4,9193,2024-08-15
PAY000012,2,4,8583,2024-09-15
PAY000013,2,4,9911,2024-10-15
PAY000014,2,4,10042,2024-11-15
PAY000015,2,4,8969,2024-12-15
PAY000016,2,4,9842,2025-01-15
PAY000017,2,4,10105,2025-02-15
PAY000018,2,4,9765,2025-03-15
PAY000019,2,4,9425,2025-04-15
PAY000020,2,4,8488,2025-05-15
PAY000021,2,4,9235,2025-06-15
PAY000022,2,4,9660,2025-07-15
PAY000023,2,1,125,2024-08-19
PAY000024,2,2,46,2024-08-14
PAY000025,4,4,9680,2024-08-15
PAY000026,4,4,9419,2024-09-15
PAY000027,4,4,9387,2024-10-15
PAY000028,4,4,9350,2024-11-15
PAY000029,4,4,9088,2024-12-15
PAY000030,4,4,9471,2025-01-15
PAY000031,4,4,9586,2025-02-15
PAY000032,4,4,9224,2025-03-15
PAY000033,4,4,8391,2025-04-15
PAY000034,4,1,138,2024-08-10
PAY000035,6,4,8450,2024-08-15
PAY000036,6,4,9655,2024-09-15
PAY000037,6,4,9097,2024-10-15
PAY000038,6,4,9746,2024-11-15
PAY000039,6,4,10030,2024-12-15
PAY000040,6,4,9436,2025-01-15
PAY000041,6,4,8674,2025-02-15
PAY000042,6,4,8712,2025-03-15
PAY000043,6,4,8843,2025-04-15
PAY000044,6,4,8566,2025-05-15
PAY000045,6,4,10032,2025-06-15
PAY000046,6,4,8448,2025-07-15
PAY000047,6,1,137,2024-08-23
PAY000048,6,2,53,2024-08-27
PAY000049,8,4,9532,2024-08-15
PAY000050,9,4,9108,2024-08-15
PAY000051,9,4,9646,2024-09-15
PAY000052,9,4,8567,2024-10-15
PAY000053,9,4,8441,2024-11-15
PAY000054,9,4,9537,2024-12-15
PAY000055,9,4,9762,2025-01-15
PAY000056,9,4,8349,2025-02-15
PAY000057,9,4,9886,2025-03-15
PAY000058,9,4,8545,2025-04-15
PAY000059,9,1,128,2024-08-19
PAY000060,9,2,47,2024-08-17
PAY000061,11,4,8591,2024-08-15
PAY000062,11,4,9557,2024-09-15
PAY000063,11,4,9220,2024-10-15
PAY000064,11,4,9925,2024-11-15
PAY000065,11,4,9419,2024-12-15
PAY000066,11,4,8382,2025-01-15
PAY000067,11,4,9003,2025-02-15
PAY000068,11,4,9366,2025-03-15
PAY000069,11,4,9496,2025-04-15
PAY000070,11,1,129,2024-08-10
PAY000071,11,2,47,2024-08-14
PAY000072,12,4,9833,2024-08-15
PAY000073,12,4,9010,2024-09-15
PAY000074,12,4,8872,2024-10-15
PAY000075,12,4,9695,2024-11-15
PAY000076,12,4,9834,2024-12-15
PAY000077,12,4,9833,2025-01-15
PAY000078,12,4,8960,2025-02-15
PAY000079,12,4,10033,2025-03-15
PAY000080,12,4,9503,2025-04-15
PAY000081,12,1,127,2024-08-21
PAY000082,12,2,54,2024-08-28
PAY000083,14,4,8593,2024-08-15
PAY000084,14,4,9703,2024-09-15
PAY000085,14,4,9621,2024-10-15
PAY000086,14,4,8500,2024-11-15
PAY000087,14,4,9749,2024-12-15
PAY000088,14,4,9198,2025-01-15
PAY000089,14,4,9780,2025-02-15
PAY000090,14,4,9466,2025-03-15
PAY000091,14,4,8624,2025-04-15
PAY000092,14,4,8895,2025-05-15
PAY000093,14,4,9737,2025-06-15
PAY000094,14,4,9358,2025-07-15
PAY000095,14,1,123,2024-08-30
PAY000096,16,4,9448,2024-08-15
PAY000097,16,4,9675,2024-09-15
PAY000098,16,4,9305,2024-10-15
PAY000099,16,4,9077,2024-11-15
PAY000100,16,4,9031,2024-12-15
PAY000101,16,4,8796,2025-01-15
PAY000102,16,4,9405,2025-02-15
PAY000103,16,4,9778,2025-03-15
PAY000104,16,4,9326,2025-04-15
PAY000105,16,1,128,2024-08-15
PAY000106,16,2,47,2024-08-11
PAY000107,17,4,9084,2024-08-15
PAY000108,17,4,9167,2024-09-15
PAY000109,17,4,9127,2024-10-15
PAY000110,17,4,9922,2024-11-15
PAY000111,17,4,9489,2024-12-15
PAY000112,17,4,9362,2025-01-15
PAY000113,17,4,10108,2025-02-15
PAY000114,17,4,8472,2025-03-15
PAY000115,17,4,9597,2025-04-15
PAY000116,17,1,119,2024-08-17
PAY000117,17,2,50,2024-08-11
PAY000118,18,4,8504,2024-08-15
PAY000119,18,4,9040,2024-09-15
PAY000120,18,4,9363,2024-10-15
PAY000121,18,4,9871,2024-11-15
PAY000122,18,4,9008,2024-12-15
PAY000123,18,4,8834,2025-01-15
PAY000124,18,4,8958,2025-02-15
PAY000125,18,4,9458,2025-03-15
PAY000126,18,4,9181,2025-04-15
PAY000127,18,1,142,2024-08-13
PAY000128,18,2,47,2024-08-24
PAY000129,19,4,9980,2024-08-15
PAY000130,19,4,9096,2024-09-15
PAY000131,19,4,8557,2024-10-15
PAY000132,19,4,9607,2024-11-15
PAY000133,19,4,9413,2024-12-15
PAY000134,19,4,8801,2025-01-15
PAY000135,19,4,10020,2025-02-15
PAY000136,19,4,9573,2025-03-15
PAY000137,19,4,8740,2025-04-15
PAY000138,20,4,9866,2024-08-15
PAY000139,20,4,9922,2024-09-15
PAY000140,20,4,8757,2024-10-15
PAY000141,20,4,8656,2024-11-15
PAY000142,20,4,8393,2024-12-15
PAY000143,20,4,8560,2025-01-15
PAY000144,20,4,9496,2025-02-15
PAY000145,20,4,8483,2025-03-15
PAY000146,20,4,10034,2025-04-15
PAY000147,20,4,8683,2025-05-15
PAY000148,20,4,9024,2025-06-15
PAY000149,20,4,9254,2025-07-15
PAY000150,20,1,120,2024-08-28
PAY000151,20,2,52,2024-08-16
PAY000152,22,4,9633,2024-08-15
PAY000153,22,1,126,2024-08-28
PAY000154,23,4,9665,2024-08-15
PAY000155,23,4,8464,2024-09-15
PAY000156,23,4,9397,2024-10-15
PAY000157,23,4,8554,2024-11-15
PAY000158,23,4,8415,2024-12-15
PAY000159,23,4,8775,2025-01-15
PAY000160,23,4,9194,2025-02-15
PAY000161,23,4,9751,2025-03-15
PAY000162,23,4,8659,2025-04-15
PAY000163,23,1,124,2024-08-14
PAY000164,23,2,47,2024-08-17
PAY000165,24,4,8595,2024-08-15
PAY000166,24,4,8386,2024-09-15
PAY000167,24,4,9596,2024-10-15
PAY000168,24,4,8367,2024-11-15
PAY000169,24,4,9963,2024-12-15
PAY000170,24,4,9033,2025-01-15
PAY000171,24,4,9522,2025-02-15
PAY000172,24,4,9040,2025-03-15
PAY000173,24,4,9806,2025-04-15
PAY000174,24,1,120,2024-08-21
PAY000175,24,2,51,2024-08-17
PAY000176,26,4,8813,2024-08-15
PAY000177,26,4,9594,2024-09-15
PAY000178,26,4,8402,2024-10-15
PAY000179,26,4,9261,2024-11-15
PAY000180,26,4,9342,2024-12-15
PAY000181,26,4,8836,2025-01-15
PAY000182,26,4,9337,2025-02-15
PAY000183,26,4,9656,2025-03-15
