teacher_id,subject_id,department_id
1,13,1
1,1,1
1,20,1
3,3,3
3,10,3
4,4,4
5,5,5
11,14,2
11,2,2
14,5,5
18,19,9
18,9,9
21,10,3
21,3,3
23,5,5
25,7,7
25,12,7
26,16,8
26,8,8
27,9,9
28,13,1
28,18,1
29,14,2
29,2,2
32,5,5
34,12,7
38,14,2
43,15,7
43,7,7
44,8,8
48,10,3
48,3,3
52,7,7
52,15,7
52,17,7
54,9,9
54,19,9
54,11,9
56,14,2
56,2,2
59,5,5
62,1,1
63,11,9
64,6,6
65,19,9
66,4,4
67,4,4
68,2,2
69,5,5
70,2,2
71,14,2
71,2,2
72,13,1
72,20,1
72,18,1
73,11,9
73,9,9
73,19,9
74,4,4
75,5,5
76,11,9
76,19,9
76,9,9
77,19,9
77,11,9
77,9,9
78,2,2
78,14,2
79,5,5
80,3,3
80,10,3
81,14,2
81,2,2
82,4,4
83,6,6
84,15,7
84,7,7
85,9,9
86,13,1
86,18,1
86,1,1
87,8,8
88,4,4
89,20,1
90,8,8
90,16,8
91,7,7
91,12,7
92,6,6
93,20,1
93,13,1
93,18,1
94,3,3
95,6,6
96,10,3
96,3,3
97,8,8
97,16,8
98,16,8
99,6,6
