assignment_id,class_id,title,due_date,points_possible,category,term_id
1,1,Project 1,2019-09-26,53,Project,2
2,1,Participation 2,2020-01-28,16,Participation,4
3,1,Test 3,2020-01-08,94,Test,3
4,1,Participation 4,2020-03-23,16,Participation,3
5,1,Homework 5,2019-09-27,12,Homework,3
6,1,Quiz 6,2019-10-20,50,Quiz,3
7,1,Quiz 7,2020-04-16,38,Quiz,1
8,1,Test 8,2019-10-16,84,Test,2
9,1,Participation 9,2019-09-05,6,Participation,1
10,1,Test 10,2020-05-06,90,Test,4
11,1,Homework 11,2020-01-16,20,Homework,1
12,1,Test 12,2020-04-04,78,Test,4
13,1,Project 13,2020-06-02,73,Project,4
14,1,Project 14,2019-10-26,94,Project,2
15,1,Quiz 15,2019-10-23,35,Quiz,2
16,1,Test 16,2020-04-12,100,Test,4
17,1,Participation 17,2019-12-15,17,Participation,2
18,1,Quiz 18,2019-10-10,33,Quiz,2
19,1,Homework 19,2019-09-22,18,Homework,1
20,1,Project 20,2019-12-29,91,Project,3
21,1,Test 21,2020-02-01,75,Test,3
22,1,Participation 22,2019-11-18,12,Participation,2
23,1,Project 23,2019-09-11,69,Project,3
24,1,Participation 24,2019-10-23,13,Participation,4
25,1,Participation 25,2020-04-11,9,Participation,4
26,1,Project 26,2019-12-27,72,Project,4
27,1,Test 27,2019-12-26,80,Test,4
28,1,Quiz 28,2020-05-10,26,Quiz,1
29,1,Homework 29,2020-05-24,19,Homework,3
30,1,Test 30,2020-04-07,95,Test,2
31,1,Project 31,2020-01-29,65,Project,3
32,1,Participation 32,2019-11-24,7,Participation,3
33,1,Project 33,2020-02-11,80,Project,3
34,1,Test 34,2019-11-28,93,Test,1
35,1,Project 35,2020-02-21,61,Project,3
36,1,Participation 36,2020-05-11,8,Participation,2
37,1,Project 37,2020-05-31,64,Project,3
38,1,Test 38,2019-10-24,83,Test,4
39,1,Homework 39,2020-05-02,23,Homework,4
40,1,Test 40,2020-01-31,75,Test,3
41,1,Quiz 41,2019-10-31,28,Quiz,3
42,1,Participation 42,2020-04-23,8,Participation,4
43,1,Quiz 43,2020-06-01,40,Quiz,1
44,1,Homework 44,2019-12-19,20,Homework,4
45,1,Homework 45,2020-05-09,12,Homework,4
46,1,Homework 46,2019-11-03,24,Homework,2
47,1,Homework 47,2019-09-11,11,Homework,3
48,1,Test 48,2020-02-09,75,Test,1
49,1,Test 49,2020-01-19,88,Test,3
