teacher_id,subject_id,department_id
1,20,1
1,13,1
3,10,3
3,3,3
4,4,4
5,5,5
11,14,2
11,2,2
14,5,5
18,9,9
18,11,9
21,10,3
21,3,3
23,5,5
27,11,9
27,19,9
29,14,2
29,2,2
32,5,5
34,7,7
34,15,7
34,17,7
38,14,2
38,2,2
43,15,7
44,8,8
48,10,3
48,3,3
52,17,7
52,7,7
52,15,7
54,9,9
54,19,9
56,2,2
59,5,5
62,18,1
63,9,9
63,19,9
64,6,6
65,11,9
65,9,9
65,19,9
66,4,4
67,4,4
68,14,2
69,5,5
70,2,2
70,14,2
71,14,2
71,2,2
72,18,1
72,1,1
72,13,1
73,9,9
73,19,9
73,11,9
74,4,4
75,5,5
76,9,9
76,19,9
76,11,9
77,11,9
78,2,2
78,14,2
79,5,5
80,10,3
80,3,3
81,14,2
81,2,2
82,4,4
83,6,6
84,12,7
84,7,7
85,19,9
85,9,9
85,11,9
86,18,1
87,16,8
87,8,8
88,4,4
89,1,1
89,13,1
90,16,8
91,7,7
91,15,7
92,6,6
93,1,1
93,20,1
93,18,1
94,10,3
94,3,3
95,6,6
96,10,3
97,16,8
98,16,8
99,6,6
100,9,9
100,19,9
101,1,1
102,5,5
