student_grade_history_id,student_id,school_year_id,gpa,grade_level_id
HIST000001,1,11,3.853,11
HIST000002,2,11,4.0,11
HIST000003,3,11,3.115,11
HIST000004,4,11,3.81,11
HIST000005,5,11,2.954,11
HIST000006,6,11,2.311,11
HIST000007,7,11,3.406,11
HIST000008,8,11,2.822,11
HIST000009,9,11,2.032,11
HIST000010,10,11,2.632,11
HIST000011,11,11,3.19,11
HIST000012,12,11,3.557,11
HIST000013,13,11,3.484,11
HIST000014,15,11,1.996,11
HIST000015,16,11,2.858,11
HIST000016,17,11,2.72,11
HIST000017,18,11,3.459,11
HIST000018,19,11,3.551,11
HIST000019,20,11,3.386,11
HIST000020,21,11,3.557,11
HIST000021,22,11,2.679,11
HIST000022,23,11,3.636,11
HIST000023,24,11,3.981,11
HIST000024,26,11,3.436,11
HIST000025,27,11,3.448,11
HIST000026,28,11,3.291,11
HIST000027,29,11,3.201,11
HIST000028,31,11,3.091,11
HIST000029,32,11,3.067,11
HIST000030,33,11,3.079,11
HIST000031,34,11,3.777,11
HIST000032,35,11,2.924,11
HIST000033,36,11,3.639,11
HIST000034,37,11,2.996,11
HIST000035,38,11,3.599,11
HIST000036,39,11,2.911,11
HIST000037,40,11,3.185,12
HIST000038,41,11,2.935,12
HIST000039,43,11,3.33,12
HIST000040,44,11,3.744,12
HIST000041,45,11,2.748,12
HIST000042,48,11,2.693,12
HIST000043,49,11,3.262,12
HIST000044,50,11,3.033,12
HIST000045,51,11,3.032,12
HIST000046,52,11,3.017,12
HIST000047,53,11,3.703,12
HIST000048,54,11,3.424,12
HIST000049,55,11,3.143,12
HIST000050,56,11,2.052,12
HIST000051,57,11,2.596,12
HIST000052,59,11,3.853,12
HIST000053,60,11,3.403,12
HIST000054,61,11,3.376,12
HIST000055,62,11,3.655,12
HIST000056,63,11,2.937,12
HIST000057,64,11,3.463,12
HIST000058,65,11,4.0,12
HIST000059,66,11,2.776,12
HIST000060,67,11,3.587,12
HIST000061,68,11,3.523,12
HIST000062,69,11,2.775,12
HIST000063,70,11,2.111,12
HIST000064,71,11,3.153,12
HIST000065,73,11,3.818,12
HIST000066,74,11,2.859,12
HIST000067,75,11,2.593,12
HIST000068,76,11,2.948,12
HIST000069,77,11,3.354,12
HIST000070,78,11,2.653,12
HIST000071,80,11,2.807,13
HIST000072,82,11,1.512,13
HIST000073,83,11,3.301,13
HIST000074,84,11,3.312,13
HIST000075,85,11,3.297,13
HIST000076,86,11,3.563,13
HIST000077,87,11,2.666,13
HIST000078,89,11,3.655,13
HIST000079,90,11,2.888,13
HIST000080,91,11,2.629,13
HIST000081,94,11,2.592,13
HIST000082,95,11,2.639,13
HIST000083,96,11,3.35,13
HIST000084,97,11,3.852,13
HIST000085,99,11,3.185,13
HIST000086,100,11,3.115,13
HIST000087,101,11,3.208,13
HIST000088,102,11,2.985,13
HIST000089,103,11,3.244,13
HIST000090,104,11,3.448,13
HIST000091,105,11,2.89,13
HIST000092,106,11,2.94,13
HIST000093,107,11,2.788,13
HIST000094,108,11,3.583,13
HIST000095,109,11,3.777,13
HIST000096,110,11,3.534,13
HIST000097,111,11,3.174,13
HIST000098,112,11,2.581,13
HIST000099,113,11,3.542,13
HIST000100,114,11,3.557,13
HIST000101,115,11,3.809,13
HIST000102,116,11,3.223,13
HIST000103,117,11,2.479,13
HIST000104,501,11,3.125,10
HIST000105,502,11,3.277,10
HIST000106,503,11,2.247,10
HIST000107,504,11,2.925,10
HIST000108,505,11,3.554,10
HIST000109,506,11,2.835,10
HIST000110,507,11,2.667,10
HIST000111,508,11,3.414,10
HIST000112,509,11,3.821,10
HIST000113,510,11,3.356,10
HIST000114,511,11,1.961,10
HIST000115,512,11,2.772,10
HIST000116,513,11,2.774,10
HIST000117,514,11,3.1,10
HIST000118,515,11,2.971,10
HIST000119,516,11,3.653,10
HIST000120,517,11,2.647,10
HIST000121,518,11,3.915,10
HIST000122,519,11,3.556,10
HIST000123,520,11,3.759,10
HIST000124,521,11,3.209,10
HIST000125,522,11,1.632,10
HIST000126,523,11,2.815,10
HIST000127,524,11,3.3,10
HIST000128,525,11,3.64,10
HIST000129,526,11,2.75,10
HIST000130,527,11,3.027,10
HIST000131,528,11,3.145,10
HIST000132,529,11,3.013,10
HIST000133,533,11,2.052,10
HIST000134,534,11,2.471,10
HIST000135,536,11,2.776,10
HIST000136,537,11,2.234,10
HIST000137,538,11,2.991,10
HIST000138,539,11,3.665,10
HIST000139,540,11,3.246,10
HIST000140,541,11,2.657,10
HIST000141,542,11,3.615,10
HIST000142,543,11,1.759,12
HIST000143,544,11,3.066,13
HIST000144,545,11,3.554,11
HIST000145,550,11,3.415,9
HIST000146,551,11,2.983,9
HIST000147,552,11,2.891,9
HIST000148,553,11,2.561,9
HIST000149,554,11,2.936,9
HIST000150,555,11,1.911,9
HIST000151,556,11,2.918,9
HIST000152,557,11,2.587,9
HIST000153,558,11,3.65,9
HIST000154,559,11,3.475,9
HIST000155,560,11,3.458,9
HIST000156,561,11,3.965,9
HIST000157,562,11,2.016,9
HIST000158,563,11,3.362,9
HIST000159,564,11,2.993,9
HIST000160,565,11,4.0,9
HIST000161,566,11,3.735,9
HIST000162,567,11,2.965,9
HIST000163,568,11,2.984,9
HIST000164,569,11,2.866,9
HIST000165,570,11,3.131,9
HIST000166,571,11,2.737,9
HIST000167,572,11,3.779,9
HIST000168,573,11,2.429,9
HIST000169,574,11,3.181,9
HIST000170,575,11,2.16,9
HIST000171,576,11,3.4,9
HIST000172,577,11,2.275,9
HIST000173,579,11,3.943,9
HIST000174,580,11,2.476,9
HIST000175,581,11,2.853,9
HIST000176,582,11,2.329,9
HIST000177,583,11,3.383,9
HIST000178,584,11,3.054,9
HIST000179,586,11,3.611,9
HIST000180,587,11,3.714,9
HIST000181,588,11,3.141,9
HIST000182,594,11,3.424,13
