class_id,name,grade_level_id,teacher_id,classroom_id,period_id,term_id
1,Homeroom,6,22,5,1,3
2,Mathematics,6,34,2,2,2
3,Reading,6,26,8,3,2
4,Science,6,25,5,4,2
5,Social Studies,6,80,13,5,2
6,Mathematics,7,30,14,1,1
7,English Language Arts,7,34,4,2,1
8,Science,7,34,1,3,4
9,Social Studies,7,66,1,4,2
10,Art,7,75,3,5,4
11,Physical Education,7,77,11,6,3
12,Technology,7,2,4,7,4
13,Mathematics,8,68,14,1,4
14,English Language Arts,8,48,12,2,4
15,Science,8,31,13,3,2
16,Social Studies,8,82,10,4,4
17,Art,8,1,17,5,2
18,Physical Education,8,63,20,6,4
19,Technology,8,28,16,7,2
20,Mathematics,9,69,4,1,4
21,English Language Arts,9,73,13,2,3
22,Science,9,2,7,3,1
23,Social Studies,9,21,14,4,4
24,Art,9,48,19,5,3
25,Physical Education,9,62,17,6,2
26,Technology,9,59,2,7,1
27,Algebra I,10,21,7,1,4
28,Biology,10,43,2,2,4
29,Physical Education,10,63,7,3,1
30,English,10,74,19,4,1
31,Geography,10,31,15,5,3
32,Spanish I,10,18,12,6,1
33,Computer Science,10,81,5,7,2
34,Geometry,11,44,20,1,4
35,Life Science,11,64,2,2,2
36,Physical Education,11,50,3,3,4
37,American Literature,11,66,1,4,4
38,Old World History,11,6,19,5,4
39,Spanish II,11,50,4,6,3
40,Visual Arts,11,72,18,7,4
41,Algebra II,12,30,14,1,4
42,Chemistry,12,85,20,2,1
43,Physical Education,12,35,15,3,1
44,English Literature,12,83,1,4,3
45,New World History,12,4,20,5,2
46,Leadership,12,13,17,6,2
47,Music Performance,12,54,18,7,2
48,Calculus,13,43,19,1,1
49,Psychology,13,5,16,2,1
50,Physical Education,13,69,16,3,2
51,World Literature,13,70,5,4,3
52,Government/Economics,13,48,12,5,1
53,Homeroom,5,16,13,1,3
54,Mathematics,5,54,3,2,2
55,Reading,5,69,5,3,3
56,Science,5,54,5,4,4
57,Social Studies,5,38,19,5,2
58,Homeroom,4,44,17,1,3
59,Mathematics,4,8,18,2,4
60,Reading,4,22,5,3,4
61,Science,4,84,7,4,3
62,Social Studies,4,23,5,5,4
63,Homeroom,3,82,17,1,4
64,Mathematics,3,81,1,2,3
65,Reading,3,6,6,3,4
66,Science,3,20,6,4,2
67,Social Studies,3,59,17,5,1
68,Homeroom,2,11,1,1,4
69,Mathematics,2,68,19,2,4
70,Reading,2,79,20,3,1
71,Science,2,70,20,4,4
72,Social Studies,2,31,2,5,3
73,Homeroom,1,64,14,1,1
74,Mathematics,1,59,18,2,4
75,Reading,1,20,16,3,4
76,Science,1,81,12,4,2
77,Social Studies,1,38,17,5,4
