teacher_id,subject_id,department_id
1,1,1
1,13,1
2,2,2
2,14,2
3,10,3
4,4,4
5,5,5
6,6,6
8,8,8
8,16,8
11,14,2
13,4,4
14,5,5
16,7,7
18,9,9
18,11,9
20,2,2
21,3,3
21,10,3
22,4,4
23,5,5
25,12,7
25,7,7
26,8,8
27,11,9
27,9,9
28,1,1
28,13,1
29,2,2
30,3,3
30,10,3
31,4,4
32,5,5
33,6,6
34,7,7
34,12,7
34,15,7
35,8,8
35,16,8
38,14,2
43,7,7
44,16,8
44,8,8
48,10,3
48,3,3
50,5,5
52,15,7
52,7,7
52,12,7
54,11,9
54,9,9
56,2,2
59,5,5
60,6,6
61,7,7
62,13,1
62,1,1
63,9,9
64,6,6
65,11,9
65,9,9
66,4,4
67,4,4
68,2,2
68,14,2
69,5,5
70,2,2
71,2,2
71,14,2
72,13,1
73,11,9
73,9,9
74,4,4
75,5,5
76,11,9
76,9,9
77,9,9
77,11,9
78,14,2
78,2,2
79,5,5
80,3,3
80,10,3
81,2,2
81,14,2
82,4,4
83,6,6
84,7,7
85,11,9
