class_id,name,grade_level_id,teacher_id,classroom_id,period_id,term_id
1,Mathematics,9,20,19,1,4
2,English Language Arts,9,76,11,2,4
3,Science,9,1,8,3,3
4,Social Studies,9,93,1,4,1
5,Art,9,13,5,5,4
6,Physical Education,9,84,13,6,2
7,Technology,9,76,14,7,1
8,Algebra I,10,86,6,1,3
9,Biology,10,13,5,2,1
10,Physical Education,10,71,11,3,2
11,English,10,5,14,4,2
12,Geography,10,25,13,5,2
13,Spanish I,10,5,7,6,3
14,Computer Science,10,59,11,7,1
15,Geometry,11,23,11,1,3
16,Life Science,11,80,14,2,1
17,Physical Education,11,1,1,3,1
18,American Literature,11,26,11,4,4
19,Old World History,11,65,18,5,2
20,Spanish II,11,5,12,6,1
21,Visual Arts,11,44,10,7,4
22,Algebra II,12,13,3,1,4
23,Chemistry,12,68,14,2,2
24,Physical Education,12,54,6,3,4
25,English Literature,12,21,4,4,1
26,New World History,12,27,2,5,3
27,Leadership,12,86,10,6,2
28,Music Performance,12,32,7,7,4
29,Calculus,13,91,12,1,3
30,Psychology,13,92,11,2,4
31,Physical Education,13,86,12,3,3
32,World Literature,13,1,3,4,2
33,Government/Economics,13,62,9,5,3
34,Mathematics,8,70,7,1,2
35,English Language Arts,8,88,8,2,2
36,Science,8,86,20,3,2
37,Social Studies,8,65,14,4,2
38,Art,8,5,4,5,3
39,Physical Education,8,72,1,6,4
40,Technology,8,34,19,7,3
41,Mathematics,7,72,2,1,3
42,English Language Arts,7,70,18,2,2
43,Science,7,86,5,3,3
44,Social Studies,7,90,8,4,1
45,Art,7,86,17,5,1
46,Physical Education,7,48,17,6,1
47,Technology,7,67,12,7,2
48,Homeroom,6,89,4,1,2
49,Mathematics,6,11,13,2,2
50,Reading,6,13,20,3,1
51,Science,6,63,5,4,2
52,Social Studies,6,32,12,5,4
53,Homeroom,5,8,1,1,1
54,Mathematics,5,38,15,2,3
55,Reading,5,32,8,3,4
56,Science,5,72,6,4,2
57,Social Studies,5,8,18,5,2
58,Homeroom,4,73,13,1,1
59,Mathematics,4,78,9,2,3
60,Reading,4,73,9,3,3
61,Science,4,66,10,4,1
62,Social Studies,4,75,10,5,2
63,Homeroom,3,81,3,1,3
64,Mathematics,3,54,11,2,4
65,Reading,3,3,16,3,1
66,Science,3,81,18,4,4
67,Social Studies,3,72,3,5,3
68,Homeroom,3,3,14,1,4
69,Mathematics,3,8,12,2,2
70,Reading,3,78,11,3,1
71,Science,3,86,10,4,1
72,Social Studies,3,88,3,5,1
73,Homeroom,2,5,6,1,1
74,Mathematics,2,79,16,2,3
75,Reading,2,56,9,3,2
76,Science,2,43,18,4,3
77,Social Studies,2,87,1,5,1
78,Homeroom,1,71,8,1,1
79,Mathematics,1,4,1,2,1
80,Reading,1,71,11,3,2
81,Science,1,78,13,4,1
82,Social Studies,1,87,17,5,1
83,Homeroom,1,64,17,1,3
84,Mathematics,1,87,19,2,3
85,Reading,1,85,13,3,4
86,Science,1,84,14,4,1
87,Social Studies,1,54,6,5,4
