teacher_id,subject_id,department_id
1,1,1
2,2,2
3,10,3
3,3,3
4,4,4
5,5,5
6,6,6
8,8,8
9,11,9
9,9,9
10,1,1
11,2,2
12,3,3
12,10,3
13,4,4
14,5,5
15,6,6
16,12,7
16,7,7
17,8,8
18,11,9
18,9,9
20,2,2
21,10,3
21,3,3
22,4,4
23,5,5
24,6,6
25,12,7
26,8,8
27,11,9
27,9,9
28,1,1
29,2,2
30,10,3
31,4,4
32,5,5
33,6,6
34,7,7
34,12,7
35,8,8
36,11,9
36,9,9
37,1,1
38,2,2
39,3,3
39,10,3
40,4,4
41,5,5
42,6,6
43,7,7
43,12,7
44,8,8
46,1,1
47,2,2
48,10,3
48,3,3
49,4,4
50,5,5
51,6,6
52,7,7
53,8,8
54,9,9
54,11,9
55,1,1
56,2,2
57,10,3
57,3,3
59,5,5
60,6,6
61,7,7
61,12,7
62,1,1
63,11,9
63,9,9
64,6,6
65,11,9
65,9,9
66,4,4
