class_id,grade_level,room_id
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,
11,2,
12,2,
13,2,
14,2,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
24,2,
25,2,
26,2,
27,2,
28,2,
29,2,
30,2,
31,3,
32,3,
33,3,
34,3,
35,3,
36,3,
37,3,
38,3,
39,3,
40,3,
41,3,
42,3,
43,3,
44,3,
45,3,
46,3,
47,3,
48,3,
49,3,
50,3,
51,3,
52,3,
53,3,
54,3,
55,3,
56,4,
57,4,
58,4,
59,4,
60,4,
61,4,
62,4,
63,4,
64,4,
65,4,
66,4,
67,4,
68,4,
69,4,
70,4,
71,5,
72,5,
73,5,
74,5,
75,5,
76,5,
77,5,
78,5,
79,5,
80,5,
81,5,
82,5,
83,5,
84,5,
85,5,
86,5,
87,5,
88,5,
89,5,
90,5,
91,6,
92,6,
93,6,
94,6,
95,6,
96,6,
97,6,
98,6,
99,6,
100,6,
101,6,
102,6,
103,6,
104,6,
105,6,
106,6,
107,6,
108,6,
109,6,
110,6,
111,6,
112,6,
113,6,
114,6,
115,6,
116,6,
117,6,
118,6,
119,7,
120,7,
121,7,
122,7,
123,7,
124,7,
125,7,
126,7,
127,7,
128,7,
129,7,
130,7,
131,7,
132,7,
133,7,
134,7,
135,7,
136,7,
137,7,
138,7,
139,7,
140,7,
141,7,
142,7,
143,7,
144,7,
145,7,
146,7,
147,7,
148,7,
149,7,
150,7,
151,7,
152,7,
153,7,
154,7,
155,7,
156,7,
157,7,
158,7,
159,7,
160,7,
161,8,
162,8,
163,8,
164,8,
165,8,
166,8,
167,8,
168,8,
169,8,
170,8,
171,8,
172,8,
173,8,
174,8,
175,8,
176,8,
177,8,
178,8,
179,8,
180,8,
181,8,
182,9,
183,9,
184,9,
185,9,
186,9,
187,9,
188,9,
189,9,
190,9,
191,9,
192,9,
193,9,
194,9,
195,9,
196,9,
197,9,
198,9,
199,9,
200,10,
201,10,
202,10,
203,10,
204,10,
205,10,
206,10,
207,10,
208,10,
209,10,
210,10,
211,10,
212,10,
213,10,
214,10,
215,10,
216,10,
217,10,
218,11,
219,11,
220,11,
221,11,
222,11,
223,11,
224,11,
225,11,
226,11,
227,11,
228,11,
229,11,
230,11,
231,11,
232,11,
233,11,
234,11,
235,11,
236,12,
237,12,
238,12,
239,12,
240,12,
241,12,
242,12,
243,12,
244,12,
